airportid,iata,airportname,city
14783,SGF,Springfield Branson National Airport,Springfield
14794,SGU,St George Municipal Airport,Saint George
14814,SHV,Shreveport Regional Airport,Shreveport
14828,SIT,Sitka Rocky Gutierrez Airport,Sitka
14831,SJC,Norman Y. Mineta San Jose International Airport,San Jose
14842,SJT,San Angelo Regional Mathis Field,San Angelo
14843,SJU,Luis Munoz Marin International Airport,San Juan
14869,SLC,Salt Lake City International Airport,Salt Lake City
14893,SMF,Sacramento International Airport,Sacramento
14905,SMX,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria
14908,SNA,John Wayne Airport-Orange County Airport,Santa Ana
14952,SPI,Abraham Lincoln Capital Airport,Springfield
14960,SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport,Wichita Falls
14986,SRQ,Sarasota Bradenton International Airport,Sarasota
15008,STC,St Cloud Regional Airport,Saint Cloud
15016,STL,St Louis Lambert International Airport,St. Louis
15023,STS,Charles M. Schulz Sonoma County Airport,Santa Rosa
15024,STT,Cyril E. King Airport,St. Thomas
15027,STX,Henry E Rohlsen Airport,St. Croix Island
15041,SUN,Friedman Memorial Airport,Hailey
15048,SUX,Sioux Gateway Col. Bud Day Field,Sioux City
15070,SWF,Stewart International Airport,Newburgh
15074,SWO,Stillwater Regional Airport,Stillwater
15096,SYR,Syracuse Hancock International Airport,Syracuse
15249,TLH,Tallahassee Regional Airport,Tallahassee
15295,TOL,Toledo Express Airport,Toledo
15304,TPA,Tampa International Airport,Tampa
15323,TRI,Tri-Cities Regional TN/VA Airport,BRISTOL
15356,TTN,Trenton Mercer Airport,Trenton
15370,TUL,Tulsa International Airport,Tulsa
15376,TUS,Tucson International Airport,Tucson
15380,TVC,Cherry Capital Airport,Traverse City
15389,TWF,Joslin Field Magic Valley Regional Airport,Twin Falls
15401,TXK,Texarkana Regional Webb Field,Texarkana
15411,TYR,Tyler Pounds Regional Airport,Tyler
15412,TYS,McGhee Tyson Airport,Knoxville
15454,UIN,Quincy Regional Baldwin Field,Quincy
15607,VLD,Valdosta Regional Airport,Valdosta
15624,VPS,Destin-Ft Walton Beach Airport,Valparaiso
15841,WRG,Wrangell Airport,Wrangell
15919,XNA,Northwest Arkansas Regional Airport,Bentonville
15991,YAK,Yakutat Airport,Yakutat
16133,YNG,Youngstown Warren Regional Airport,Youngstown
16218,YUM,Yuma MCAS/Yuma International Airport,Yuma
